[2025-11-26 23:57:41] [WARNING ] [ShellScript  ] : LIMPEZA COMPLETA REALIZADA
----------------------------------------------------------------
[2025-11-26 23:57:45] [DEBUG    ] [ShellScript  ] : INICIO: Gerando Cenário API & Web...
[2025-11-26 23:57:45] [DEBUG    ] [ShellScript  ] : CMD: python3 -m tcc_sumo.tools.scenario_generator_api --input dados_api.json --vehicles 1000 --duration 3600.0
[2025-11-26 23:57:50] [INFO    ] [ScenarioGeneratorAPI] : Modo CLI (sem interação)
[2025-11-26 23:57:50] [INFO    ] [ScenarioGeneratorAPI] : Modo CLI (sem interação)
[2025-11-26 23:57:50] [INFO    ] [ScenarioGeneratorAPI] : === GERAÇÃO DE CENÁRIO (Pool: 1000 veics, Base: 1.0h) ===
[2025-11-26 23:57:50] [INFO    ] [ScenarioGeneratorAPI] : === GERAÇÃO DE CENÁRIO (Pool: 1000 veics, Base: 1.0h) ===
[2025-11-26 23:57:51] [DEBUG   ] [httpcore.connection] : connect_tcp.started host='rumhqljidmwkctjojqdw.supabase.co' port=443 local_address=None timeout=120 socket_options=None
[2025-11-26 23:57:51] [DEBUG   ] [httpcore.connection] : connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x76cd10b21780>
[2025-11-26 23:57:51] [DEBUG   ] [httpcore.connection] : start_tls.started ssl_context=<ssl.SSLContext object at 0x76cd10b08dc0> server_hostname='rumhqljidmwkctjojqdw.supabase.co' timeout=120
[2025-11-26 23:57:51] [DEBUG   ] [httpcore.connection] : start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x76cd10b21750>
[2025-11-26 23:57:51] [DEBUG   ] [httpcore.http2] : send_connection_init.started request=<Request [b'DELETE']>
[2025-11-26 23:57:51] [DEBUG   ] [httpcore.http2] : send_connection_init.complete
[2025-11-26 23:57:51] [DEBUG   ] [httpcore.http2] : send_request_headers.started request=<Request [b'DELETE']> stream_id=1
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Adding (b':method', b'DELETE') to the header table, sensitive:False, huffman:True
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Encoding 2 with 6 bits
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Encoding 6 with 7 bits
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Adding (b':authority', b'rumhqljidmwkctjojqdw.supabase.co') to the header table, sensitive:False, huffman:True
